# csv2chart.title=Multiple Eval vs. Single Compile + Multiple Eval
n, Multi Eval, Compile Multi Eval
0, 0.8600110000000001, 0.389887
1, 0.6008107, 0.501413
2, 0.4782228, 0.3890572
3, 0.4086919, 0.6910033999999999
4, 0.7261242, 0.6375119
5, 0.4449585, 0.37969430000000004
6, 0.3865289, 0.46471169999999995
7, 0.3994869, 0.4135512
8, 0.4208598, 0.40900800000000004
9, 0.4328303, 0.4122078
10, 0.4044646, 0.4004352
11, 0.47909189999999996, 0.412208
12, 0.5185982, 0.4499365
13, 0.5410377000000001, 0.5320304
14, 0.568771, 0.5168203
15, 0.5440006000000001, 0.49193129999999996
16, 0.5083659, 0.602944
17, 0.6088302999999999, 0.5653735
18, 0.49754139999999997, 0.5804254
19, 0.622065, 0.664692
20, 0.6676946, 0.6279118
21, 0.5976502, 0.6223019
22, 0.666391, 0.5906575000000001
23, 0.6192206, 0.5913291
24, 0.6046031000000001, 0.606855
25, 0.6906872, 0.6191019
26, 0.650944, 0.6880404
27, 0.5687712, 0.5950822
28, 0.6713687, 0.7612848999999999
29, 0.9329392999999999, 0.6578971
30, 0.6038921, 0.6679711
31, 0.715655, 0.6056303
32, 0.5360203, 0.5440006000000001
33, 0.5761982999999999, 0.7060947
34, 0.8996356000000001, 0.8270232
35, 0.7600207, 0.5758427
36, 0.7019858, 0.5343612
37, 0.7987762, 0.8513591
38, 0.8527416999999999, 0.6148748
39, 0.6103710999999999, 0.568692
40, 0.6183118000000001, 0.6767019999999999
41, 0.6191021, 0.7863317000000001
42, 0.6042474, 0.5869044
43, 0.5986377, 0.6218675
44, 0.6139662, 0.5814919
45, 0.7551217, 0.5949637
46, 0.6704600000000001, 0.7902036
47, 0.6432008, 0.6167317
48, 0.6833786, 0.6256598999999999
49, 0.6293734, 0.6342724
50, 0.669986, 0.6342327
51, 0.6655216, 0.8111022
52, 0.6638231, 0.7198429
53, 0.8620651, 0.8234676999999999
54, 0.7757046, 0.6897392
55, 0.7209094, 0.7815911
56, 0.7049095000000001, 0.6912008000000001
57, 0.7164452, 0.6527612
58, 0.7142329000000001, 0.832475
59, 0.7343810000000001, 0.8745886
60, 0.9957543, 0.9426579
61, 0.9304505000000001, 0.8847811999999999
62, 0.8244553, 0.9492158999999999
63, 0.9408799999999999, 0.7388847000000001
64, 0.79688, 0.7182626
65, 0.749433, 0.7442179999999999
66, 0.7582825, 0.9241689
67, 0.7675270000000001, 0.7444946
68, 0.7486035, 0.7258479
69, 0.7702922, 0.7330378
70, 1.0179567999999999, 0.922233
71, 0.85369, 0.9748159
72, 0.8382826, 0.8247318
73, 1.0010086, 0.9194281999999999
74, 0.8761294, 0.8386775999999999
75, 0.9661246, 0.8117739
76, 1.1269543, 0.8340947
77, 0.8467762000000001, 0.7900849
78, 0.8407714000000001, 0.8433393
79, 0.9401295, 0.8019764
80, 0.8432603000000001, 0.961384
81, 0.8946182, 0.9889197
82, 0.8772356, 0.7843563
83, 0.8504899, 0.8179762
84, 0.9383518000000001, 0.9165838000000001
85, 0.8830035, 0.866648
86, 0.8943813, 0.8472504000000001
87, 1.0329692, 0.8365836
88, 0.8911815000000001, 1.0236062000000001
89, 1.2672804, 1.1586779999999999
90, 1.1013149, 0.9032308
91, 0.9364158, 1.0970878000000002
92, 1.2625793, 0.8784207
93, 0.9505197000000001, 0.9153984
94, 0.9113295000000001, 1.0124654
95, 0.9884850999999999, 0.8960405
96, 0.9664405, 0.9101048
97, 1.0751224000000001, 0.9035863000000001
98, 1.0247123, 0.9205344999999999
99, 1.0445050999999999, 0.9153195000000001
100, 1.0139271, 0.9052456
101, 0.9532455000000001, 1.0521297
102, 1.0014826, 0.9328998000000001
103, 1.041542, 1.236031
104, 1.4853154, 0.9457395
105, 0.9759618, 0.9678629000000001
106, 1.1472212000000002, 1.0791123
107, 1.0772161, 0.9732753000000001
108, 1.1339469, 1.0460457
109, 1.1840411, 0.9680209
110, 1.1759815, 0.9784504
111, 1.1156555000000001, 0.9797148
112, 1.1845544000000001, 0.9833887000000001
113, 1.1034878000000001, 0.9983221
114, 1.1449693, 1.0183519
115, 1.0509444000000001, 1.0000605
116, 1.1998038, 0.9932259
117, 1.1315766999999999, 1.0962581
118, 1.2205446, 1.0522087
119, 1.1369494, 1.1831323
120, 1.2688606999999998, 1.130747
121, 1.209167, 1.0953495
122, 4.9988011, 2.2147186000000003
123, 1.1308655, 1.1106778
124, 1.2081792999999998, 1.127547
125, 1.1246234, 1.0432407
126, 1.2321199999999999, 1.0729889
127, 1.263725, 1.2221249
128, 1.2387175, 1.3164263
129, 1.2370582, 1.0842879
130, 1.2086533, 1.2741149999999999
131, 1.3697991999999999, 1.1030138
132, 1.1518829, 1.2662928
133, 1.1674088, 1.1332754
134, 1.3631622, 1.3514287
135, 1.371735, 1.0381049
136, 1.2335818, 1.3799127
137, 1.193404, 1.1419668
138, 1.2015815, 1.2303029
139, 1.2348459999999999, 1.1096112
140, 1.2174632, 1.175073
141, 1.1498285, 1.1736112
142, 1.1794187, 1.1858582
143, 1.2266286, 1.1049101000000001
144, 1.2115768, 1.2937103
145, 1.2074681, 1.2225989
146, 1.3105004, 1.1498681
147, 1.2260754999999999, 1.2000012999999998
148, 1.5353696, 1.1320112
149, 1.2617892, 1.1935225
150, 1.4803376, 1.2805151000000001
151, 1.2365841, 1.2961596
152, 1.2561398000000001, 1.1884656
153, 1.2338187, 1.2645941
154, 1.2461841, 1.1844754
155, 1.2980953, 1.2307767
156, 1.2133545, 1.1943123999999998
157, 1.4530386, 1.2238236
158, 1.3774238, 1.2236657
159, 1.4369596, 1.1393988
160, 1.2928015, 1.3035868000000002
161, 1.379083, 1.2366632
162, 1.568318, 1.4576213
163, 1.6196363999999999, 1.3142139
164, 5.6852216, 2.9449122
165, 1.3961498, 1.4094239
166, 1.547024, 1.2287618
167, 1.5151822, 1.5299573
168, 1.7682984999999998, 1.5033696
169, 1.5454044, 1.2789745
170, 1.613039, 1.5421648
171, 1.9699775, 1.5975526
172, 1.5241894999999999, 1.3282384
173, 1.3635967, 1.4490880000000002
174, 1.5158932, 1.3720508
